num_of_prev_attempts,studied_credits,module_presentation_length,halfway_date,clicks_per_day,pct_days_vle_accessed,max_clicks_one_day,first_date_vle_accessed,avg_score,avg_days_sub_early,days_early_first_assessment,score_first_assessment,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_module_nan,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_presentation_nan,gender_M,gender_nan,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,region_nan,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,highest_education_nan,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,imd_band_nan,age_band_35-55,age_band_55<=,age_band_nan,disability_Y,disability_nan
0,30,269,134.5,1.4646840148698885,0.43866171003717475,68.0,13.0,87.5,-2.5,-2.0,89.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,60,269,134.5,3.420074349442379,0.6728624535315985,91.0,-18.0,75.0,1.5,2.0,76.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,60,240,120.0,29.695833333333333,3.345833333333333,90.0,-9.0,76.2,-2.2,3.0,58.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,30,241,120.5,1.5020746887966805,0.5933609958506224,25.0,2.0,85.5,9.0,18.0,85.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,120,269,134.5,1.1895910780669146,0.5539033457249071,13.0,-18.0,62.0,-2.0,-2.0,62.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,60,268,134.0,1.0037313432835822,0.3656716417910448,22.0,3.0,85.33333333333333,-9.666666666666666,1.0,72.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,30,261,130.5,0.11494252873563218,0.05363984674329502,10.0,-11.0,,,,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,120,269,134.5,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,30,269,134.5,4.446096654275093,1.1078066914498141,52.0,-2.0,89.5,-1.25,0.0,89.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,269,134.5,1.6691449814126393,0.6617100371747212,20.0,-3.0,87.5,7.0,8.0,85.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,60,268,134.0,2.208955223880597,0.6492537313432836,64.0,1.0,89.66666666666667,5.333333333333333,8.0,96.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,60,261,130.5,3.8850574712643677,1.9655172413793103,17.0,-12.0,86.0,5.25,7.0,93.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,150,262,131.0,1.8893129770992367,0.5190839694656488,30.0,-6.0,76.0,-3.5,0.0,70.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,120,268,134.0,7.787313432835821,1.7537313432835822,96.0,-13.0,72.75,2.25,4.0,84.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,60,269,134.5,2.4386617100371746,0.9033457249070632,36.0,-18.0,86.0,-7.0,0.0,96.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,60,268,134.0,0.5932835820895522,0.22014925373134328,16.0,-2.0,84.5,-7.25,2.0,75.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,30,269,134.5,0.32342007434944237,0.05947955390334572,46.0,-2.0,78.0,-3.0,-3.0,78.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,120,241,120.5,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,60,268,134.0,6.022388059701493,1.544776119402985,76.0,0.0,68.0,1.0,1.0,74.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,75,240,120.0,14.866666666666667,4.05,112.0,-15.0,67.0,4.0,7.0,80.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,120,241,120.5,2.1618257261410787,0.7551867219917012,19.0,18.0,83.33333333333333,-1.6666666666666667,0.0,76.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,240,120.0,0.14166666666666666,0.07083333333333333,7.0,-16.0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,60,268,134.0,1.7164179104477613,0.5783582089552238,24.0,-9.0,68.71428571428571,-1.4285714285714286,0.0,55.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,261,130.5,7.160919540229885,2.1149425287356323,36.0,-18.0,91.25,0.0,0.0,91.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,30,241,120.5,1.8049792531120332,0.5477178423236515,87.0,15.0,85.0,-7.0,-2.0,86.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,30,269,134.5,10.304832713754648,3.5390334572490705,43.0,-18.0,93.5,-2.5,-2.0,89.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,60,261,130.5,0.04597701149425287,0.01532567049808429,6.0,-8.0,,,,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,269,134.5,1.5576208178438662,0.4312267657992565,81.0,-13.0,89.0,-3.0,-3.0,89.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,60,268,134.0,2.25,0.7611940298507462,24.0,-9.0,91.0,-0.5714285714285714,3.0,75.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,240,269,134.5,3.308550185873606,1.1152416356877324,48.0,-18.0,85.0,1.0,1.0,90.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,120,240,120.0,0.15416666666666667,0.075,8.0,-8.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,90,240,120.0,3.0541666666666667,1.2708333333333333,28.0,4.0,68.0,-18.0,-7.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,30,241,120.5,3.962655601659751,1.095435684647303,43.0,-8.0,84.5,26.0,43.0,85.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,90,241,120.5,0.1078838174273859,0.04564315352697095,11.0,12.0,64.0,0.0,0.0,64.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,60,268,134.0,0.1791044776119403,0.06343283582089553,10.0,-17.0,,,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,60,268,134.0,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,90,262,131.0,3.1603053435114505,1.2442748091603053,48.0,-8.0,83.5,0.0,0.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,120,262,131.0,0.6793893129770993,0.21374045801526717,28.0,-10.0,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,60,241,120.5,3.2655601659751037,0.9128630705394191,24.0,-18.0,62.333333333333336,0.3333333333333333,1.0,90.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,60,240,120.0,2.595833333333333,0.7041666666666667,28.0,-8.0,69.33333333333333,-6.333333333333333,1.0,76.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,60,269,134.5,0.16728624535315986,0.07806691449814127,8.0,-5.0,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,60,241,120.5,3.995850622406639,1.1950207468879668,72.0,-18.0,89.5,-4.5,-2.0,90.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,210,240,120.0,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,261,130.5,1.4329501915708813,0.7049808429118773,10.0,-18.0,71.0,2.0,4.0,77.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,60,268,134.0,1.5186567164179106,0.6567164179104478,11.0,-10.0,84.0,-1.25,3.0,83.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,30,241,120.5,1.8008298755186722,0.8174273858921162,41.0,-18.0,93.25,-0.75,1.0,100.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,60,268,134.0,8.421641791044776,1.664179104477612,73.0,-12.0,86.0,0.75,1.0,82.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,60,241,120.5,2.1618257261410787,1.1452282157676348,16.0,-17.0,79.5,3.0,6.0,78.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,240,120.0,0.2708333333333333,0.07916666666666666,13.0,4.0,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,240,120.0,12.6625,2.7625,83.0,-18.0,77.66666666666667,1.3333333333333333,3.0,74.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,30,269,134.5,5.553903345724907,1.6765799256505576,74.0,-18.0,86.0,-2.5,-2.0,78.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,60,240,120.0,5.4,1.525,36.0,-18.0,63.333333333333336,-5.333333333333333,0.0,68.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,150,240,120.0,2.7,1.1708333333333334,20.0,-16.0,93.125,-2.375,1.0,83.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,60,240,120.0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,241,120.5,0.14522821576763487,0.04979253112033195,14.0,30.0,,,,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,234,117.0,22.884615384615383,3.2051282051282053,67.0,-9.0,82.57142857142857,-1.7142857142857142,1.0,71.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,270,240,120.0,4.054166666666666,1.8625,17.0,-6.0,75.4,-3.6,0.0,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,261,130.5,0.8007662835249042,0.25287356321839083,26.0,-6.0,39.0,2.0,3.0,40.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,60,262,131.0,2.030534351145038,0.8206106870229007,10.0,-21.0,52.25,1.5,2.0,50.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,269,134.5,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,120,269,134.5,2.0,0.724907063197026,17.0,-4.0,77.0,-4.666666666666667,0.0,94.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,60,262,131.0,1.4580152671755726,0.4580152671755725,39.0,-4.0,79.33333333333333,1.3333333333333333,2.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,180,268,134.0,1.8059701492537314,0.9216417910447762,19.0,-10.0,66.57142857142857,8.0,23.0,56.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,30,241,120.5,1.5186721991701244,0.43983402489626555,48.0,1.0,75.5,0.0,0.0,80.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,269,134.5,1.858736059479554,0.8698884758364313,14.0,-18.0,77.0,-2.5,-2.0,67.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,90,240,120.0,24.204166666666666,4.9375,99.0,-18.0,72.66666666666667,6.0,10.0,84.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,90,241,120.5,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,150,261,130.5,0.4942528735632184,0.36015325670498083,7.0,-2.0,68.5,8.0,15.0,72.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,70,240,120.0,20.933333333333334,5.195833333333334,78.0,-18.0,61.333333333333336,4.666666666666667,9.0,68.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,120,241,120.5,1.058091286307054,0.43983402489626555,44.0,-18.0,75.0,0.0,0.0,76.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,60,241,120.5,6.871369294605809,1.7012448132780082,132.0,-18.0,74.5,-1.25,1.0,70.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,60,241,120.5,10.45643153526971,2.6182572614107884,69.0,-18.0,76.33333333333333,1.3333333333333333,2.0,72.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,241,120.5,0.7261410788381742,0.23236514522821577,15.0,-16.0,0.0,-2.0,-2.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,262,131.0,1.366412213740458,0.5763358778625954,40.0,-9.0,88.0,1.3333333333333333,2.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,269,134.5,0.895910780669145,0.34572490706319703,34.0,2.0,60.0,-14.0,-14.0,60.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,60,269,134.5,3.193308550185874,0.758364312267658,139.0,-11.0,80.66666666666667,-3.6666666666666665,3.0,85.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,150,269,134.5,3.3048327137546467,0.6356877323420075,94.0,2.0,76.5,-0.75,1.0,78.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
