final_result,module_not_completed,final_result_num,estimated_final_score
Fail,True,1_Fail,7.8
Withdrawn,True,0_Withdrawn,18.75
Pass,False,2_Pass,27.04
Fail,True,1_Fail,0.0
Withdrawn,True,0_Withdrawn,7.75
Fail,True,1_Fail,35.199999999999996
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,
Distinction,False,3_Distinction,34.52
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,63.8
Pass,False,2_Pass,25.675
Pass,False,2_Pass,38.3
Pass,False,2_Pass,55.5
Fail,True,1_Fail,21.5
Withdrawn,True,0_Withdrawn,17.09
Withdrawn,True,0_Withdrawn,1.56
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,50.5
Fail,True,1_Fail,32.25
Pass,False,2_Pass,16.575000000000003
Fail,True,1_Fail,
Pass,False,2_Pass,38.62999999999999
Pass,False,2_Pass,27.575
Withdrawn,True,0_Withdrawn,33.37
Distinction,False,3_Distinction,8.64
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,1.78
Pass,False,2_Pass,53.91
Withdrawn,True,0_Withdrawn,21.25
Fail,True,1_Fail,
Pass,False,2_Pass,35.5
Pass,False,2_Pass,0.0
Fail,True,1_Fail,3.2
Fail,True,1_Fail,
Fail,True,1_Fail,
Pass,False,2_Pass,41.05
Withdrawn,True,0_Withdrawn,
Fail,True,1_Fail,30.5
Withdrawn,True,0_Withdrawn,33.75
Fail,True,1_Fail,
Distinction,False,3_Distinction,35.940000000000005
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,14.225
Withdrawn,True,0_Withdrawn,19.09
Pass,False,2_Pass,35.26
Distinction,False,3_Distinction,65.75
Pass,False,2_Pass,23.975
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,38.0
Pass,False,2_Pass,8.14
Pass,False,2_Pass,33.25
Pass,False,2_Pass,26.395
Withdrawn,True,0_Withdrawn,
Withdrawn,True,0_Withdrawn,
Distinction,False,3_Distinction,47.209999999999994
Pass,False,2_Pass,28.55
Pass,False,2_Pass,0.0
Fail,True,1_Fail,25.75
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,37.25
Pass,False,2_Pass,20.9
Pass,False,2_Pass,35.8
Fail,True,1_Fail,32.68
Pass,False,2_Pass,7.43
Pass,False,2_Pass,36.0
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,20.525
Pass,False,2_Pass,31.25
Pass,False,2_Pass,18.75
Withdrawn,True,0_Withdrawn,30.65
Pass,False,2_Pass,38.25
Withdrawn,True,0_Withdrawn,0.0
Pass,False,2_Pass,23.9
Withdrawn,True,0_Withdrawn,0.0
Pass,False,2_Pass,57.56
Pass,False,2_Pass,28.68
Withdrawn,True,0_Withdrawn,0.66
Withdrawn,True,0_Withdrawn,
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,16.5
Pass,False,2_Pass,47.25
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,10.75
Withdrawn,True,0_Withdrawn,
Fail,True,1_Fail,8.8
Pass,False,2_Pass,44.34
Withdrawn,True,0_Withdrawn,44.0
Distinction,False,3_Distinction,65.76
Fail,True,1_Fail,3.5
Distinction,False,3_Distinction,43.0
Withdrawn,True,0_Withdrawn,
Fail,True,1_Fail,28.970000000000002
Withdrawn,True,0_Withdrawn,33.769999999999996
Distinction,False,3_Distinction,39.82
Fail,True,1_Fail,36.25
Fail,True,1_Fail,7.1000000000000005
