num_of_prev_attempts,studied_credits,module_presentation_length,sum_click_dataplus,sum_click_dualpane,sum_click_externalquiz,sum_click_forumng,sum_click_glossary,sum_click_homepage,sum_click_htmlactivity,sum_click_oucollaborate,sum_click_oucontent,sum_click_ouelluminate,sum_click_ouwiki,sum_click_page,sum_click_questionnaire,sum_click_quiz,sum_click_repeatactivity,sum_click_resource,sum_click_sharedsubpage,sum_click_subpage,sum_click_url,sum_days_vle_accessed,max_clicks_one_day,first_date_vle_accessed,avg_score,avg_days_sub_early,days_early_first_assessment,score_first_assessment,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_module_nan,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_presentation_nan,gender_M,gender_nan,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,region_nan,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,highest_education_nan,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,imd_band_nan,age_band_35-55,age_band_55<=,age_band_nan,disability_Y,disability_nan
0,120,262,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,8.0,4.0,-8.0,80.0,1.5,2.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,180,234,0.0,0.0,0.0,174.0,0.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,9.0,3.0,98.0,22.0,-9.0,74.0,4.0,11.0,67.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,30,269,0.0,0.0,0.0,142.0,0.0,182.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,645.0,0.0,85.0,0.0,95.0,6.0,298.0,144.0,-16.0,83.66666666666667,-1.3333333333333333,1.0,89.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,120,269,0.0,0.0,0.0,189.0,0.0,39.0,5.0,0.0,110.0,0.0,0.0,1.0,0.0,74.0,0.0,10.0,0.0,65.0,7.0,151.0,67.0,-18.0,72.0,1.0,2.0,62.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,90,269,0.0,0.0,0.0,55.0,0.0,93.0,2.0,0.0,155.0,0.0,0.0,1.0,0.0,262.0,0.0,15.0,0.0,59.0,13.0,169.0,95.0,-12.0,86.0,0.0,0.0,88.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,60,234,0.0,0.0,0.0,230.0,4.0,62.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,41.0,0.0,16.0,0.0,38.0,17.0,131.0,18.0,2.0,75.0,-1.0,2.0,76.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,120,261,0.0,0.0,7.0,96.0,0.0,117.0,0.0,3.0,19.0,0.0,76.0,0.0,0.0,0.0,0.0,27.0,0.0,116.0,13.0,203.0,21.0,-18.0,89.0,1.5,2.0,90.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,234,0.0,0.0,0.0,58.0,0.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,3.0,0.0,44.0,7.0,-4.0,79.33333333333333,0.3333333333333333,2.0,60.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,60,240,0.0,2.0,0.0,786.0,0.0,222.0,0.0,0.0,508.0,3.0,13.0,13.0,9.0,312.0,0.0,30.0,0.0,130.0,41.0,526.0,65.0,-18.0,94.0,1.5,2.0,92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,240,0.0,0.0,12.0,240.0,24.0,288.0,0.0,0.0,31.0,3.0,25.0,7.0,0.0,0.0,0.0,60.0,0.0,290.0,102.0,503.0,21.0,-16.0,85.0,-0.25,2.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,60,262,0.0,0.0,3.0,71.0,6.0,73.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,8.0,115.0,10.0,-25.0,61.666666666666664,1.3333333333333333,3.0,50.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,90,269,0.0,0.0,0.0,208.0,0.0,180.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,355.0,0.0,28.0,0.0,35.0,4.0,230.0,68.0,-18.0,82.0,-1.6666666666666667,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,90,261,0.0,0.0,0.0,52.0,0.0,16.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,33.0,22.0,-6.0,70.0,9.0,9.0,70.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,120,261,0.0,0.0,4.0,67.0,0.0,113.0,0.0,0.0,135.0,0.0,26.0,0.0,0.0,0.0,0.0,19.0,0.0,27.0,4.0,160.0,18.0,-16.0,82.0,0.0,0.0,78.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,30,261,0.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,7.0,0.0,45.0,19.0,-8.0,50.0,4.0,4.0,50.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,150,268,0.0,0.0,0.0,508.0,0.0,359.0,0.0,10.0,269.0,0.0,28.0,3.0,4.0,98.0,0.0,4.0,0.0,101.0,4.0,339.0,45.0,-18.0,65.0,3.0,4.0,70.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,261,0.0,0.0,0.0,21.0,0.0,13.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,35.0,11.0,6.0,41.0,-12.0,-12.0,41.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,60,268,0.0,4.0,0.0,380.0,0.0,385.0,0.0,11.0,360.0,0.0,37.0,19.0,7.0,613.0,0.0,30.0,0.0,197.0,9.0,530.0,113.0,-18.0,91.0,2.5,4.0,92.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,120,241,0.0,0.0,0.0,107.0,0.0,139.0,0.0,4.0,210.0,0.0,8.0,5.0,3.0,142.0,0.0,5.0,0.0,61.0,5.0,182.0,48.0,-18.0,92.0,1.5,2.0,94.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,150,241,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,9.0,0.0,12.0,1.0,46.0,51.0,-16.0,79.0,-1.0,0.0,70.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,60,240,0.0,0.0,0.0,91.0,5.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0,0.0,16.0,8.0,68.0,13.0,9.0,87.66666666666667,-1.6666666666666667,1.0,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,60,269,0.0,0.0,0.0,542.0,0.0,539.0,2.0,6.0,499.0,0.0,14.0,2.0,7.0,601.0,0.0,11.0,0.0,135.0,5.0,518.0,213.0,-18.0,96.0,2.5,3.0,96.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
