final_result,module_not_completed,final_result_num,estimated_final_score
Pass,False,2_Pass,59.25
Withdrawn,True,0_Withdrawn,18.650000000000002
Pass,False,2_Pass,72.24
Pass,False,2_Pass,63.75
Fail,True,1_Fail,50.5
Pass,False,2_Pass,72.3
Pass,False,2_Pass,73.8
Pass,False,2_Pass,69.32
Distinction,False,3_Distinction,93.5
Pass,False,2_Pass,70.9725
Withdrawn,True,0_Withdrawn,16.0
Withdrawn,True,0_Withdrawn,13.580000000000002
Pass,False,2_Pass,0.0
Pass,False,2_Pass,68.1125
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,52.25
Fail,True,1_Fail,2.05
Pass,False,2_Pass,95.25
Pass,False,2_Pass,84.75
Pass,False,2_Pass,51.739999999999995
Pass,False,2_Pass,81.67999999999999
Distinction,False,3_Distinction,95.25
Pass,False,2_Pass,73.17
Pass,False,2_Pass,60.5875
Withdrawn,True,0_Withdrawn,35.75
Fail,True,1_Fail,52.0
Pass,False,2_Pass,94.36
Pass,False,2_Pass,84.55
Fail,True,1_Fail,17.34
Pass,False,2_Pass,80.47999999999999
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,62.96000000000001
Fail,True,1_Fail,0.0
Pass,False,2_Pass,81.05
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,73.28999999999999
Fail,True,1_Fail,
Withdrawn,True,0_Withdrawn,7.46
Pass,False,2_Pass,67.25
Pass,False,2_Pass,89.60000000000001
Distinction,False,3_Distinction,86.96000000000001
Pass,False,2_Pass,53.580000000000005
Withdrawn,True,0_Withdrawn,15.75
Withdrawn,True,0_Withdrawn,13.45
Distinction,False,3_Distinction,88.72
Pass,False,2_Pass,36.38
Withdrawn,True,0_Withdrawn,14.225
Pass,False,2_Pass,86.025
Pass,False,2_Pass,85.12
Pass,False,2_Pass,16.32
Pass,False,2_Pass,80.86999999999999
Pass,False,2_Pass,62.8
Fail,True,1_Fail,10.5
Pass,False,2_Pass,0.0
Pass,False,2_Pass,42.04
Fail,True,1_Fail,34.25
Fail,True,1_Fail,10.5
Fail,True,1_Fail,0.0
Pass,False,2_Pass,87.76
Withdrawn,True,0_Withdrawn,45.96
Pass,False,2_Pass,0.0
Pass,False,2_Pass,53.2
Fail,True,1_Fail,
Fail,True,1_Fail,38.5
Pass,False,2_Pass,79.5
Distinction,False,3_Distinction,93.25
Fail,True,1_Fail,27.825
Pass,False,2_Pass,80.75
Fail,True,1_Fail,49.8375
Pass,False,2_Pass,48.8625
Pass,False,2_Pass,81.55
Fail,True,1_Fail,32.04
Pass,False,2_Pass,84.96
Distinction,False,3_Distinction,93.75
Pass,False,2_Pass,63.239999999999995
Withdrawn,True,0_Withdrawn,16.77
Pass,False,2_Pass,77.53
Pass,False,2_Pass,67.65
Pass,False,2_Pass,78.0
Distinction,False,3_Distinction,95.52000000000001
Pass,False,2_Pass,80.25
Pass,False,2_Pass,90.3625
Pass,False,2_Pass,84.64
Withdrawn,True,0_Withdrawn,21.25
Withdrawn,True,0_Withdrawn,2.7
Withdrawn,True,0_Withdrawn,
Pass,False,2_Pass,70.08
Fail,True,1_Fail,16.5
Distinction,False,3_Distinction,82.9
Pass,False,2_Pass,52.0
Pass,False,2_Pass,58.25
Pass,False,2_Pass,75.2
Pass,False,2_Pass,63.04999999999999
Fail,True,1_Fail,12.5
Fail,True,1_Fail,56.05
Fail,True,1_Fail,70.0
Distinction,False,3_Distinction,89.85
Fail,True,1_Fail,19.762500000000003
Withdrawn,True,0_Withdrawn,17.310000000000002
Fail,True,1_Fail,34.36
Pass,False,2_Pass,92.92
Withdrawn,True,0_Withdrawn,8.25
Pass,False,2_Pass,67.93
Fail,True,1_Fail,47.79
Pass,False,2_Pass,49.5
Fail,True,1_Fail,20.0
Pass,False,2_Pass,71.29999999999998
Withdrawn,True,0_Withdrawn,
Distinction,False,3_Distinction,79.9875
Fail,True,1_Fail,13.6
Fail,True,1_Fail,16.14
Pass,False,2_Pass,87.56
Pass,False,2_Pass,89.29
Pass,False,2_Pass,76.66
Distinction,False,3_Distinction,86.72
Pass,False,2_Pass,68.1
Fail,True,1_Fail,18.78
Fail,True,1_Fail,3.4600000000000004
Pass,False,2_Pass,81.35
Fail,True,1_Fail,5.6575
Distinction,False,3_Distinction,85.0
Pass,False,2_Pass,67.6
Pass,False,2_Pass,93.06
Pass,False,2_Pass,75.75000000000001
Pass,False,2_Pass,0.0
Pass,False,2_Pass,71.3
Distinction,False,3_Distinction,88.48
Pass,False,2_Pass,65.44999999999999
Pass,False,2_Pass,43.25
Withdrawn,True,0_Withdrawn,5.5600000000000005
Fail,True,1_Fail,1.56
Fail,True,1_Fail,22.75
Pass,False,2_Pass,56.4625
Pass,False,2_Pass,73.75
Fail,True,1_Fail,29.64
Fail,True,1_Fail,44.724999999999994
Pass,False,2_Pass,0.0
Fail,True,1_Fail,16.14
Pass,False,2_Pass,42.0
Pass,False,2_Pass,81.36000000000001
Withdrawn,True,0_Withdrawn,28.8875
Pass,False,2_Pass,69.0
Distinction,False,3_Distinction,65.06
Pass,False,2_Pass,62.41
Fail,True,1_Fail,59.900000000000006
Withdrawn,True,0_Withdrawn,0.0
Fail,True,1_Fail,65.0
Withdrawn,True,0_Withdrawn,8.25
Fail,True,1_Fail,19.6
Pass,False,2_Pass,78.25
Pass,False,2_Pass,0.0
Fail,True,1_Fail,14.75
Pass,False,2_Pass,66.07000000000001
Pass,False,2_Pass,0.0
Distinction,False,3_Distinction,87.01999999999998
Withdrawn,True,0_Withdrawn,12.25
Fail,True,1_Fail,23.96
Fail,True,1_Fail,7.92
Pass,False,2_Pass,63.25
Pass,False,2_Pass,53.400000000000006
Pass,False,2_Pass,85.25
Fail,True,1_Fail,22.240000000000002
Pass,False,2_Pass,82.5
Fail,True,1_Fail,17.15
Pass,False,2_Pass,87.5
Fail,True,1_Fail,42.5
Pass,False,2_Pass,66.17999999999999
Fail,True,1_Fail,21.819999999999997
Pass,False,2_Pass,80.75
Pass,False,2_Pass,50.85000000000001
Distinction,False,3_Distinction,85.0
Pass,False,2_Pass,65.2
Pass,False,2_Pass,57.775000000000006
Distinction,False,3_Distinction,23.56
Pass,False,2_Pass,75.0
Pass,False,2_Pass,43.35
Withdrawn,True,0_Withdrawn,8.5
Fail,True,1_Fail,
Pass,False,2_Pass,72.0
Fail,True,1_Fail,14.75
Pass,False,2_Pass,64.30000000000001
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Distinction,False,3_Distinction,80.39999999999999
Withdrawn,True,0_Withdrawn,24.37
Fail,True,1_Fail,14.84
Pass,False,2_Pass,64.05
Pass,False,2_Pass,83.75
Pass,False,2_Pass,63.05
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,77.64
Withdrawn,True,0_Withdrawn,17.2125
Pass,False,2_Pass,81.625
Fail,True,1_Fail,9.75
Pass,False,2_Pass,79.3625
Pass,False,2_Pass,60.56
Withdrawn,True,0_Withdrawn,14.5
