num_of_prev_attempts,studied_credits,module_presentation_length,sum_click_dataplus,sum_click_dualpane,sum_click_externalquiz,sum_click_folder,sum_click_forumng,sum_click_glossary,sum_click_homepage,sum_click_htmlactivity,sum_click_oucollaborate,sum_click_oucontent,sum_click_ouelluminate,sum_click_ouwiki,sum_click_page,sum_click_questionnaire,sum_click_quiz,sum_click_repeatactivity,sum_click_resource,sum_click_sharedsubpage,sum_click_subpage,sum_click_url,sum_days_vle_accessed,max_clicks_one_day,first_date_vle_accessed,avg_score,avg_days_sub_early,days_early_first_assessment,score_first_assessment,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_module_nan,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_presentation_nan,gender_M,gender_nan,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,region_nan,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,highest_education_nan,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,imd_band_nan,age_band_35-55,age_band_55<=,age_band_nan,disability_Y,disability_nan
0,60,269,0.0,0.0,0.0,0.0,462.0,0.0,242.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,403.0,0.0,38.0,0.0,75.0,0.0,372.0,67.0,-18.0,88.66666666666667,0.16666666666666666,3.0,78.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,60,268,14.0,8.0,0.0,0.0,278.0,0.0,418.0,0.0,2.0,1378.0,0.0,20.0,8.0,17.0,1021.0,0.0,49.0,0.0,276.0,23.0,581.0,213.0,-18.0,76.8,4.0,11.0,94.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,120,240,0.0,0.0,28.0,0.0,228.0,0.0,364.0,0.0,0.0,201.0,8.0,197.0,3.0,0.0,0.0,0.0,49.0,0.0,138.0,66.0,463.0,36.0,-1.0,50.90909090909091,-5.818181818181818,4.0,43.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,120,240,0.0,0.0,0.0,0.0,38.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,9.0,1.0,55.0,8.0,-1.0,79.66666666666667,-1.6666666666666667,1.0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,261,,,,,,,,,,,,,,,,,,,,,,,,42.0,40.0,54.0,50.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,70,261,0.0,0.0,3.0,0.0,16.0,0.0,149.0,0.0,0.0,77.0,0.0,5.0,0.0,0.0,0.0,0.0,66.0,0.0,126.0,6.0,290.0,10.0,-15.0,52.5,0.0,0.0,68.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,60,241,0.0,0.0,0.0,0.0,451.0,0.0,221.0,0.0,11.0,1856.0,0.0,25.0,7.0,3.0,389.0,0.0,34.0,0.0,297.0,15.0,862.0,78.0,-4.0,93.8,0.2,5.0,94.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,60,269,0.0,0.0,0.0,0.0,195.0,0.0,200.0,0.0,0.0,322.0,0.0,211.0,0.0,0.0,73.0,0.0,10.0,0.0,30.0,15.0,343.0,50.0,-17.0,89.0,3.5,8.0,99.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,90,240,0.0,0.0,0.0,0.0,218.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,18.0,0.0,18.0,8.0,141.0,20.0,-9.0,81.75,-6.25,0.0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,60,268,0.0,6.0,0.0,0.0,271.0,0.0,249.0,0.0,10.0,604.0,0.0,56.0,4.0,0.0,155.0,0.0,28.0,0.0,162.0,15.0,430.0,77.0,1.0,71.0,2.0,2.0,76.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
