final_result,module_not_completed,final_result_num,estimated_final_score
Pass,False,2_Pass,91.97000000000001
Pass,False,2_Pass,75.0
Pass,False,2_Pass,46.8325
Fail,True,1_Fail,16.53
Fail,True,1_Fail,4.625
Fail,True,1_Fail,5.7125
Distinction,False,3_Distinction,94.0
Distinction,False,3_Distinction,87.8
Fail,True,1_Fail,16.41
Fail,True,1_Fail,17.75
Fail,True,1_Fail,39.5
Fail,True,1_Fail,30.400000000000002
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,22.5
Pass,False,2_Pass,78.025
Pass,False,2_Pass,79.7
Fail,True,1_Fail,37.129999999999995
Fail,True,1_Fail,46.57000000000001
Pass,False,2_Pass,68.81
Distinction,False,3_Distinction,0.0
Distinction,False,3_Distinction,79.5
Pass,False,2_Pass,0.0
Pass,False,2_Pass,90.25
Fail,True,1_Fail,
Distinction,False,3_Distinction,87.0
Pass,False,2_Pass,91.0
Fail,True,1_Fail,55.3
Fail,True,1_Fail,
Pass,False,2_Pass,86.75
Distinction,False,3_Distinction,77.88999999999999
Pass,False,2_Pass,80.34999999999998
Pass,False,2_Pass,65.9
Pass,False,2_Pass,64.25
Withdrawn,True,0_Withdrawn,68.65
Fail,True,1_Fail,57.4625
Pass,False,2_Pass,63.57
Pass,False,2_Pass,0.0
Fail,True,1_Fail,14.762500000000001
Distinction,False,3_Distinction,95.72
Pass,False,2_Pass,0.0
Distinction,False,3_Distinction,92.36
Withdrawn,True,0_Withdrawn,13.120000000000001
Fail,True,1_Fail,0.0
Pass,False,2_Pass,88.5
Pass,False,2_Pass,66.33
Distinction,False,3_Distinction,69.66999999999999
Withdrawn,True,0_Withdrawn,45.75
Fail,True,1_Fail,15.04
Pass,False,2_Pass,81.48
Pass,False,2_Pass,70.88
Fail,True,1_Fail,26.75
Pass,False,2_Pass,84.5
Pass,False,2_Pass,50.77750000000001
Pass,False,2_Pass,63.99
Distinction,False,3_Distinction,82.91999999999999
Fail,True,1_Fail,14.5
Pass,False,2_Pass,77.30000000000001
Fail,True,1_Fail,3.5700000000000003
Pass,False,2_Pass,0.0
Fail,True,1_Fail,
Fail,True,1_Fail,
Pass,False,2_Pass,68.92999999999999
Fail,True,1_Fail,
Pass,False,2_Pass,88.78
Pass,False,2_Pass,0.0
Fail,True,1_Fail,59.3
Pass,False,2_Pass,80.96000000000001
Pass,False,2_Pass,76.05
Distinction,False,3_Distinction,0.0
Distinction,False,3_Distinction,91.62
Distinction,False,3_Distinction,88.28
Distinction,False,3_Distinction,92.5
Fail,True,1_Fail,41.28
Fail,True,1_Fail,19.75
Pass,False,2_Pass,23.65
Pass,False,2_Pass,81.4
Distinction,False,3_Distinction,94.0
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,43.6
Pass,False,2_Pass,52.0875
Pass,False,2_Pass,56.394999999999996
Distinction,False,3_Distinction,84.35000000000001
Pass,False,2_Pass,75.71
Pass,False,2_Pass,68.75999999999999
Fail,True,1_Fail,
Fail,True,1_Fail,52.14000000000001
Pass,False,2_Pass,68.10999999999999
Pass,False,2_Pass,73.4375
Pass,False,2_Pass,51.175
Pass,False,2_Pass,74.4
Pass,False,2_Pass,61.5
Fail,True,1_Fail,57.25000000000001
Pass,False,2_Pass,53.425
Pass,False,2_Pass,91.72000000000001
Pass,False,2_Pass,59.60999999999999
Pass,False,2_Pass,68.85
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,18.08
Pass,False,2_Pass,76.75
Distinction,False,3_Distinction,85.1
Pass,False,2_Pass,68.25
Fail,True,1_Fail,23.8125
Pass,False,2_Pass,78.0
Fail,True,1_Fail,14.94
Fail,True,1_Fail,
Pass,False,2_Pass,58.639999999999986
Pass,False,2_Pass,0.0
Pass,False,2_Pass,91.55
Fail,True,1_Fail,21.8
Pass,False,2_Pass,71.3
Fail,True,1_Fail,60.349999999999994
Pass,False,2_Pass,74.78999999999999
Fail,True,1_Fail,7.029999999999999
Fail,True,1_Fail,56.25
Pass,False,2_Pass,69.19
Pass,False,2_Pass,0.0
Fail,True,1_Fail,0.0
Fail,True,1_Fail,3.3449999999999998
Fail,True,1_Fail,12.16
Pass,False,2_Pass,47.58
Pass,False,2_Pass,84.57
Fail,True,1_Fail,
Fail,True,1_Fail,
Fail,True,1_Fail,7.36
Fail,True,1_Fail,44.04
Pass,False,2_Pass,74.75
Fail,True,1_Fail,17.39
Fail,True,1_Fail,
Pass,False,2_Pass,61.900000000000006
Fail,True,1_Fail,36.1
Fail,True,1_Fail,12.21
Pass,False,2_Pass,77.25
Pass,False,2_Pass,74.36999999999999
Pass,False,2_Pass,75.75
Pass,False,2_Pass,70.575
Fail,True,1_Fail,
Pass,False,2_Pass,78.30000000000001
Fail,True,1_Fail,5.6
Pass,False,2_Pass,0.0
Fail,True,1_Fail,75.5
Pass,False,2_Pass,49.099999999999994
Pass,False,2_Pass,84.97
Fail,True,1_Fail,14.5
Fail,True,1_Fail,37.635000000000005
Fail,True,1_Fail,1.2
Distinction,False,3_Distinction,91.97999999999999
Pass,False,2_Pass,83.5
Fail,True,1_Fail,7.324999999999999
Pass,False,2_Pass,61.53999999999999
Pass,False,2_Pass,78.94999999999999
Distinction,False,3_Distinction,91.72
Fail,True,1_Fail,2.6799999999999997
Pass,False,2_Pass,46.78
Pass,False,2_Pass,55.25
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,84.75
Pass,False,2_Pass,92.5
Fail,True,1_Fail,
Pass,False,2_Pass,76.3
Fail,True,1_Fail,59.28
Fail,True,1_Fail,45.120000000000005
Pass,False,2_Pass,76.5
Fail,True,1_Fail,14.212499999999999
Pass,False,2_Pass,66.0
Pass,False,2_Pass,34.55
Distinction,False,3_Distinction,91.75
Pass,False,2_Pass,86.16999999999999
Fail,True,1_Fail,28.5
Withdrawn,True,0_Withdrawn,0.0
Pass,False,2_Pass,50.75
Fail,True,1_Fail,4.890000000000001
Pass,False,2_Pass,86.1375
Withdrawn,True,0_Withdrawn,27.0
Fail,True,1_Fail,0.0
Fail,True,1_Fail,
Pass,False,2_Pass,67.8875
Pass,False,2_Pass,65.4975
Pass,False,2_Pass,0.0
Pass,False,2_Pass,61.17999999999999
Pass,False,2_Pass,48.0
Pass,False,2_Pass,57.0
Pass,False,2_Pass,68.6
Pass,False,2_Pass,37.83
Fail,True,1_Fail,
Pass,False,2_Pass,56.49000000000001
Pass,False,2_Pass,0.0
Pass,False,2_Pass,72.0
Fail,True,1_Fail,30.75
Pass,False,2_Pass,68.4
Pass,False,2_Pass,71.15
Fail,True,1_Fail,69.5
Pass,False,2_Pass,82.6
Pass,False,2_Pass,84.5
Pass,False,2_Pass,79.5
Pass,False,2_Pass,68.3
Distinction,False,3_Distinction,85.25
Pass,False,2_Pass,93.0
Fail,True,1_Fail,48.63000000000001
Pass,False,2_Pass,75.77
Pass,False,2_Pass,91.08
Fail,True,1_Fail,1.0
Pass,False,2_Pass,91.74000000000001
Pass,False,2_Pass,84.25
Fail,True,1_Fail,22.7375
Fail,True,1_Fail,
Pass,False,2_Pass,60.55
Fail,True,1_Fail,0.0
Fail,True,1_Fail,4.5
Fail,True,1_Fail,60.21000000000001
Pass,False,2_Pass,0.0
Fail,True,1_Fail,6.25
Pass,False,2_Pass,41.47
Fail,True,1_Fail,0.0
Fail,True,1_Fail,30.040000000000003
Pass,False,2_Pass,69.97000000000001
Fail,True,1_Fail,29.51
Fail,True,1_Fail,23.92
Fail,True,1_Fail,
Fail,True,1_Fail,9.25
Fail,True,1_Fail,
Fail,True,1_Fail,9.75
Fail,True,1_Fail,
Fail,True,1_Fail,79.39
Pass,False,2_Pass,72.0
Pass,False,2_Pass,88.84
Pass,False,2_Pass,54.9875
Pass,False,2_Pass,76.09
Fail,True,1_Fail,47.0
Fail,True,1_Fail,7.175
Pass,False,2_Pass,76.82000000000001
Pass,False,2_Pass,83.5
Pass,False,2_Pass,71.25
Pass,False,2_Pass,64.25
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Distinction,False,3_Distinction,79.93
Fail,True,1_Fail,38.08
Fail,True,1_Fail,0.44
Pass,False,2_Pass,42.95
Pass,False,2_Pass,61.64999999999999
Pass,False,2_Pass,82.75
Fail,True,1_Fail,17.2
Fail,True,1_Fail,59.0
Fail,True,1_Fail,11.75
Pass,False,2_Pass,91.75999999999999
Fail,True,1_Fail,46.0
Pass,False,2_Pass,41.06
Fail,True,1_Fail,10.2125
Fail,True,1_Fail,49.25
Pass,False,2_Pass,86.25
Fail,True,1_Fail,22.75
Fail,True,1_Fail,0.0
Pass,False,2_Pass,80.91999999999999
Pass,False,2_Pass,74.1
Pass,False,2_Pass,48.4375
Distinction,False,3_Distinction,86.56
Fail,True,1_Fail,49.8
Fail,True,1_Fail,6.25
Pass,False,2_Pass,82.6125
Pass,False,2_Pass,82.5
Fail,True,1_Fail,6.5
Fail,True,1_Fail,17.75
Fail,True,1_Fail,11.86
Pass,False,2_Pass,0.0
Pass,False,2_Pass,0.0
Withdrawn,True,0_Withdrawn,30.0375
Fail,True,1_Fail,65.75
Pass,False,2_Pass,77.525
Pass,False,2_Pass,40.75
Distinction,False,3_Distinction,88.5
Withdrawn,True,0_Withdrawn,40.165
Distinction,False,3_Distinction,84.78999999999999
Pass,False,2_Pass,0.0
Fail,True,1_Fail,14.56
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Pass,False,2_Pass,0.0
Pass,False,2_Pass,59.782500000000006
Pass,False,2_Pass,79.2
Fail,True,1_Fail,6.5
Pass,False,2_Pass,79.8
Pass,False,2_Pass,74.52
Pass,False,2_Pass,71.73
Withdrawn,True,0_Withdrawn,0.0
Fail,True,1_Fail,
Fail,True,1_Fail,36.75
Pass,False,2_Pass,79.83000000000001
Pass,False,2_Pass,61.1625
Pass,False,2_Pass,77.25
Fail,True,1_Fail,3.35
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,67.88749999999999
Pass,False,2_Pass,75.56
Distinction,False,3_Distinction,85.52
Fail,True,1_Fail,0.0
Pass,False,2_Pass,64.92999999999999
Fail,True,1_Fail,
Fail,True,1_Fail,15.25
Pass,False,2_Pass,62.44
Pass,False,2_Pass,84.25
Pass,False,2_Pass,69.75
Pass,False,2_Pass,0.0
Pass,False,2_Pass,85.24999999999999
Pass,False,2_Pass,0.0
Fail,True,1_Fail,0.0
Fail,True,1_Fail,75.25
Distinction,False,3_Distinction,84.6
Distinction,False,3_Distinction,82.55000000000001
Pass,False,2_Pass,0.0
Pass,False,2_Pass,89.60000000000001
Distinction,False,3_Distinction,83.35
Distinction,False,3_Distinction,94.25
Pass,False,2_Pass,0.0
Pass,False,2_Pass,70.7
Fail,True,1_Fail,36.03999999999999
Pass,False,2_Pass,0.0
Fail,True,1_Fail,37.63
Fail,True,1_Fail,0.0
Fail,True,1_Fail,20.3875
Pass,False,2_Pass,74.69999999999999
Fail,True,1_Fail,53.4125
Fail,True,1_Fail,22.5
Pass,False,2_Pass,82.19999999999999
Pass,False,2_Pass,70.85
Pass,False,2_Pass,62.2875
Pass,False,2_Pass,83.0
Pass,False,2_Pass,46.7
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,80.35999999999999
Distinction,False,3_Distinction,96.03999999999999
Pass,False,2_Pass,77.0
Withdrawn,True,0_Withdrawn,18.189999999999998
Pass,False,2_Pass,87.25
Distinction,False,3_Distinction,93.275
Pass,False,2_Pass,76.9
Distinction,False,3_Distinction,91.49999999999999
Fail,True,1_Fail,26.75
Pass,False,2_Pass,89.99999999999999
Pass,False,2_Pass,60.6
Pass,False,2_Pass,82.40999999999998
Pass,False,2_Pass,54.25
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,80.25
Pass,False,2_Pass,66.725
Pass,False,2_Pass,66.75
Fail,True,1_Fail,25.080000000000002
Fail,True,1_Fail,14.65
Fail,True,1_Fail,9.52
Pass,False,2_Pass,0.0
Pass,False,2_Pass,80.0
Pass,False,2_Pass,42.0
Pass,False,2_Pass,58.15
Fail,True,1_Fail,59.25
Pass,False,2_Pass,55.85
Pass,False,2_Pass,56.8
Pass,False,2_Pass,88.0
Fail,True,1_Fail,53.52
Pass,False,2_Pass,93.0
Pass,False,2_Pass,81.25
Distinction,False,3_Distinction,99.16
Pass,False,2_Pass,64.5
Pass,False,2_Pass,70.85
Pass,False,2_Pass,56.5
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Fail,True,1_Fail,
Pass,False,2_Pass,70.75
Withdrawn,True,0_Withdrawn,37.25
Distinction,False,3_Distinction,99.56
Distinction,False,3_Distinction,95.5
Distinction,False,3_Distinction,84.39
Pass,False,2_Pass,78.5
Distinction,False,3_Distinction,87.0
Fail,True,1_Fail,6.2
Fail,True,1_Fail,0.0
Fail,True,1_Fail,
Fail,True,1_Fail,18.4
Pass,False,2_Pass,80.5125
Pass,False,2_Pass,60.56
Fail,True,1_Fail,
Fail,True,1_Fail,
Pass,False,2_Pass,83.0
Withdrawn,True,0_Withdrawn,11.190000000000001
Pass,False,2_Pass,60.95
Fail,True,1_Fail,27.889999999999997
Distinction,False,3_Distinction,85.75
Fail,True,1_Fail,38.55
Fail,True,1_Fail,0.0
Pass,False,2_Pass,57.699999999999996
Fail,True,1_Fail,0.0
Pass,False,2_Pass,55.29
Pass,False,2_Pass,84.35000000000001
Fail,True,1_Fail,6.16
Distinction,False,3_Distinction,87.16
Fail,True,1_Fail,0.0
Pass,False,2_Pass,54.529999999999994
Fail,True,1_Fail,82.5
Fail,True,1_Fail,3.4
Fail,True,1_Fail,
Pass,False,2_Pass,78.05
Pass,False,2_Pass,73.74
Pass,False,2_Pass,71.0
Fail,True,1_Fail,4.0
Pass,False,2_Pass,72.00999999999999
Pass,False,2_Pass,88.78000000000002
Distinction,False,3_Distinction,86.0
Pass,False,2_Pass,84.0
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Fail,True,1_Fail,
Pass,False,2_Pass,69.5
Pass,False,2_Pass,81.25
Fail,True,1_Fail,3.75
Pass,False,2_Pass,84.0
Pass,False,2_Pass,58.25
Fail,True,1_Fail,41.279999999999994
Pass,False,2_Pass,43.5
Fail,True,1_Fail,
Pass,False,2_Pass,48.5375
Withdrawn,True,0_Withdrawn,19.275000000000002
Fail,True,1_Fail,12.2625
Pass,False,2_Pass,65.11
Pass,False,2_Pass,62.3375
Pass,False,2_Pass,75.35
Pass,False,2_Pass,79.5
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,76.0
Pass,False,2_Pass,70.29
Pass,False,2_Pass,57.49
Distinction,False,3_Distinction,92.75
Pass,False,2_Pass,83.12
Fail,True,1_Fail,19.65
Pass,False,2_Pass,83.75
Fail,True,1_Fail,39.5
Pass,False,2_Pass,72.55
Fail,True,1_Fail,19.9
Pass,False,2_Pass,90.5
Pass,False,2_Pass,67.1
Fail,True,1_Fail,
Fail,True,1_Fail,70.5
Fail,True,1_Fail,9.75
Pass,False,2_Pass,51.19
Pass,False,2_Pass,62.925000000000004
Fail,True,1_Fail,14.8
Pass,False,2_Pass,84.2
Distinction,False,3_Distinction,87.5
Pass,False,2_Pass,69.65
Pass,False,2_Pass,53.85
Fail,True,1_Fail,
Pass,False,2_Pass,86.39999999999999
Pass,False,2_Pass,84.3
Fail,True,1_Fail,3.5
Fail,True,1_Fail,40.93000000000001
Pass,False,2_Pass,62.75
Distinction,False,3_Distinction,92.75
Pass,False,2_Pass,69.5
Fail,True,1_Fail,8.5
Fail,True,1_Fail,5.08
Pass,False,2_Pass,64.45
Pass,False,2_Pass,72.75
Fail,True,1_Fail,
Pass,False,2_Pass,0.0
Pass,False,2_Pass,42.529999999999994
Pass,False,2_Pass,63.08
Distinction,False,3_Distinction,76.2
Fail,True,1_Fail,
Distinction,False,3_Distinction,0.0
Pass,False,2_Pass,72.56
Distinction,False,3_Distinction,89.25
Fail,True,1_Fail,21.25
Pass,False,2_Pass,79.86
Pass,False,2_Pass,0.0
Pass,False,2_Pass,88.5
Pass,False,2_Pass,72.3
Pass,False,2_Pass,73.93
Pass,False,2_Pass,46.3
Pass,False,2_Pass,63.95
Distinction,False,3_Distinction,89.75
Fail,True,1_Fail,59.5
Fail,True,1_Fail,10.75
Pass,False,2_Pass,0.0
Fail,True,1_Fail,6.95
Pass,False,2_Pass,65.75
Pass,False,2_Pass,80.53
Fail,True,1_Fail,19.37
Pass,False,2_Pass,60.0
Fail,True,1_Fail,20.8275
Fail,True,1_Fail,62.91999999999999
Pass,False,2_Pass,92.44
Pass,False,2_Pass,54.5
Pass,False,2_Pass,85.72
Pass,False,2_Pass,81.2
Fail,True,1_Fail,43.8
Pass,False,2_Pass,0.0
Fail,True,1_Fail,38.0
Distinction,False,3_Distinction,80.8
Pass,False,2_Pass,56.050000000000004
Fail,True,1_Fail,51.8125
Withdrawn,True,0_Withdrawn,0.2
Fail,True,1_Fail,52.9
Pass,False,2_Pass,84.83749999999999
Distinction,False,3_Distinction,93.5
Pass,False,2_Pass,77.25
Pass,False,2_Pass,47.2
Pass,False,2_Pass,59.57999999999999
Pass,False,2_Pass,0.0
Pass,False,2_Pass,88.5
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,26.637500000000003
Pass,False,2_Pass,90.0
Fail,True,1_Fail,3.85
Pass,False,2_Pass,85.73000000000002
Pass,False,2_Pass,79.25
Fail,True,1_Fail,15.5
Pass,False,2_Pass,79.96999999999998
Fail,True,1_Fail,19.280000000000005
Pass,False,2_Pass,94.0
Fail,True,1_Fail,7.57
Distinction,False,3_Distinction,89.325
Pass,False,2_Pass,62.46
Pass,False,2_Pass,69.0
Distinction,False,3_Distinction,0.0
Distinction,False,3_Distinction,74.53
Fail,True,1_Fail,16.7
Fail,True,1_Fail,22.75
Pass,False,2_Pass,71.28
Fail,True,1_Fail,69.9
Pass,False,2_Pass,78.25
Distinction,False,3_Distinction,94.75
Fail,True,1_Fail,
Distinction,False,3_Distinction,79.82749999999999
Fail,True,1_Fail,16.225
Distinction,False,3_Distinction,93.0
Distinction,False,3_Distinction,88.35000000000001
Pass,False,2_Pass,82.7125
Pass,False,2_Pass,74.25
Fail,True,1_Fail,
Fail,True,1_Fail,18.88
Pass,False,2_Pass,74.98
Pass,False,2_Pass,78.75
Fail,True,1_Fail,21.5
Pass,False,2_Pass,69.75
Pass,False,2_Pass,0.0
Fail,True,1_Fail,75.25
Fail,True,1_Fail,
Pass,False,2_Pass,59.05
Distinction,False,3_Distinction,73.22
Fail,True,1_Fail,6.880000000000001
Pass,False,2_Pass,67.82
Pass,False,2_Pass,67.75
Pass,False,2_Pass,72.75999999999999
Pass,False,2_Pass,74.75
Pass,False,2_Pass,78.42999999999999
Pass,False,2_Pass,61.65
Fail,True,1_Fail,30.1875
Fail,True,1_Fail,2.75
Fail,True,1_Fail,46.41999999999999
Pass,False,2_Pass,67.28999999999999
Distinction,False,3_Distinction,98.8
Fail,True,1_Fail,75.24
Pass,False,2_Pass,57.25
Distinction,False,3_Distinction,86.25
Distinction,False,3_Distinction,83.8
Fail,True,1_Fail,42.15
Pass,False,2_Pass,79.05
Distinction,False,3_Distinction,88.5
Distinction,False,3_Distinction,91.91999999999999
Fail,True,1_Fail,60.279999999999994
Pass,False,2_Pass,83.65
Distinction,False,3_Distinction,96.92
Pass,False,2_Pass,66.55
Fail,True,1_Fail,
Pass,False,2_Pass,68.5
Pass,False,2_Pass,84.0
Fail,True,1_Fail,9.0
Fail,True,1_Fail,51.75
Fail,True,1_Fail,23.520000000000003
Distinction,False,3_Distinction,89.65
Pass,False,2_Pass,81.45
Distinction,False,3_Distinction,93.0
Fail,True,1_Fail,25.020000000000003
Fail,True,1_Fail,10.0
Fail,True,1_Fail,53.46
Pass,False,2_Pass,62.855000000000004
Fail,True,1_Fail,
Fail,True,1_Fail,52.16
Pass,False,2_Pass,48.900000000000006
Pass,False,2_Pass,58.5
Pass,False,2_Pass,68.65
Pass,False,2_Pass,52.0
Pass,False,2_Pass,81.5
Pass,False,2_Pass,59.5
Pass,False,2_Pass,52.72
Pass,False,2_Pass,51.08999999999999
Pass,False,2_Pass,0.0
Pass,False,2_Pass,80.5
Fail,True,1_Fail,0.9375
Fail,True,1_Fail,8.649999999999999
Pass,False,2_Pass,79.17999999999999
Pass,False,2_Pass,57.55
Pass,False,2_Pass,85.125
Pass,False,2_Pass,65.21
Pass,False,2_Pass,68.9
Pass,False,2_Pass,0.0
Pass,False,2_Pass,0.0
Fail,True,1_Fail,39.5
Pass,False,2_Pass,74.25
Fail,True,1_Fail,
Fail,True,1_Fail,11.75
Fail,True,1_Fail,33.122499999999995
Pass,False,2_Pass,79.0
Fail,True,1_Fail,
Pass,False,2_Pass,76.25
Pass,False,2_Pass,66.97
Pass,False,2_Pass,79.75
Distinction,False,3_Distinction,0.0
Fail,True,1_Fail,65.75
Pass,False,2_Pass,83.0
Pass,False,2_Pass,57.95
Fail,True,1_Fail,67.24000000000001
Pass,False,2_Pass,64.67999999999999
Fail,True,1_Fail,46.25
Distinction,False,3_Distinction,98.25999999999999
Pass,False,2_Pass,93.82
Pass,False,2_Pass,77.67999999999999
Fail,True,1_Fail,
Distinction,False,3_Distinction,87.75
Distinction,False,3_Distinction,98.84
Pass,False,2_Pass,59.7
Pass,False,2_Pass,72.25
Pass,False,2_Pass,60.5
Fail,True,1_Fail,77.9
Pass,False,2_Pass,82.93
Fail,True,1_Fail,0.0
Distinction,False,3_Distinction,93.68
Withdrawn,True,0_Withdrawn,
Distinction,False,3_Distinction,73.7
Pass,False,2_Pass,74.25
