final_result,module_not_completed,final_result_num,estimated_final_score
Pass,False,2,88.36
Pass,False,2,75.25
Withdrawn,True,0,32.824999999999996
Pass,False,2,128.1
Withdrawn,True,0,
Pass,False,2,77.30999999999999
Pass,False,2,88.75
Fail,True,1,58.830000000000005
Fail,True,1,0.0
Withdrawn,True,0,37.33
Pass,False,2,84.5
Pass,False,2,56.5
Pass,False,2,67.2
Withdrawn,True,0,11.25
Pass,False,2,137.0
Pass,False,2,54.43999999999999
Fail,True,1,30.75
Withdrawn,True,0,
Fail,True,1,52.11999999999999
Fail,True,1,
Pass,False,2,64.55
Pass,False,2,91.0
Withdrawn,True,0,
Pass,False,2,81.25
Withdrawn,True,0,26.9
Pass,False,2,81.75
Distinction,False,3,91.25
Pass,False,2,65.0
Withdrawn,True,0,17.09
Withdrawn,True,0,
Fail,True,1,0.0
Withdrawn,True,0,
Withdrawn,True,0,
Fail,True,1,
Withdrawn,True,0,34.775
Pass,False,2,63.469999999999985
Pass,False,2,65.5
Withdrawn,True,0,58.75
Pass,False,2,83.0
Pass,False,2,141.15
Pass,False,2,77.68
Pass,False,2,85.58999999999999
Withdrawn,True,0,41.25
Fail,True,1,
Fail,True,1,13.47
Pass,False,2,0.0
Fail,True,1,0.0
Pass,False,2,79.5
Withdrawn,True,0,
Pass,False,2,138.625
Distinction,False,3,88.25
Pass,False,2,73.75
Withdrawn,True,0,
Withdrawn,True,0,35.739999999999995
Distinction,False,3,88.09999999999998
Withdrawn,True,0,
Pass,False,2,105.42500000000001
Withdrawn,True,0,19.09
Pass,False,2,78.77999999999999
Distinction,False,3,87.25
Withdrawn,True,0,22.85
Withdrawn,True,0,25.65
Fail,True,1,48.0
Fail,True,1,59.25
Pass,False,2,78.75
Withdrawn,True,0,8.5
Withdrawn,True,0,
Withdrawn,True,0,
Distinction,False,3,76.91
Pass,False,2,65.50999999999999
Fail,True,1,40.92
Distinction,False,3,96.03999999999999
Withdrawn,True,0,
Fail,True,1,12.96
Pass,False,2,75.15
Pass,False,2,64.55999999999999
Pass,False,2,83.12
Pass,False,2,22.79
Withdrawn,True,0,
Withdrawn,True,0,
Withdrawn,True,0,22.0
Pass,False,2,69.25
Pass,False,2,0.0
Withdrawn,True,0,34.01
Withdrawn,True,0,
Withdrawn,True,0,0.0
Pass,False,2,80.25
Pass,False,2,11.95
Pass,False,2,77.03999999999999
Fail,True,1,17.0
Withdrawn,True,0,
Pass,False,2,57.0
Pass,False,2,20.57
Pass,False,2,64.1
Pass,False,2,62.75
Fail,True,1,
Pass,False,2,84.5
Fail,True,1,62.5
Fail,True,1,44.849999999999994
Pass,False,2,74.60000000000001
Withdrawn,True,0,
Pass,False,2,105.225
Fail,True,1,71.5
Withdrawn,True,0,
Fail,True,1,59.3
Fail,True,1,55.129999999999995
Withdrawn,True,0,35.769999999999996
Fail,True,1,
Fail,True,1,6.390000000000001
Pass,False,2,25.0
Distinction,False,3,93.5
Pass,False,2,91.16000000000001
Withdrawn,True,0,
Pass,False,2,0.0
Fail,True,1,19.75
Distinction,False,3,97.24000000000001
Pass,False,2,128.875
Distinction,False,3,81.19000000000001
Withdrawn,True,0,
Withdrawn,True,0,10.75
Distinction,False,3,172.175
Withdrawn,True,0,0.22
Withdrawn,True,0,
Fail,True,1,46.18
Pass,False,2,78.53999999999999
Pass,False,2,41.980000000000004
Pass,False,2,78.05
Pass,False,2,93.425
Fail,True,1,58.75
Withdrawn,True,0,
Withdrawn,True,0,57.44
Fail,True,1,63.849999999999994
Withdrawn,True,0,68.75
Distinction,False,3,90.25
Withdrawn,True,0,2.0
Fail,True,1,66.485
Withdrawn,True,0,45.0
Fail,True,1,11.68
Distinction,False,3,85.89999999999999
Withdrawn,True,0,
Fail,True,1,17.249999999999996
Pass,False,2,67.3
Fail,True,1,69.8
Pass,False,2,57.44999999999999
Withdrawn,True,0,35.2
Fail,True,1,52.94
Fail,True,1,10.0
Pass,False,2,92.03999999999999
Fail,True,1,50.5
Withdrawn,True,0,2.25
Distinction,False,3,88.08000000000001
Pass,False,2,90.0
Withdrawn,True,0,
Pass,False,2,103.275
Withdrawn,True,0,3.6
Withdrawn,True,0,
Pass,False,2,81.7
Distinction,False,3,184.4
Fail,True,1,65.05
Withdrawn,True,0,0.0
Pass,False,2,76.5
Withdrawn,True,0,16.025
Fail,True,1,3.0
Withdrawn,True,0,
Pass,False,2,53.0
Withdrawn,True,0,16.13
Fail,True,1,53.56999999999999
Fail,True,1,56.0
Pass,False,2,57.25
Fail,True,1,
Distinction,False,3,93.79999999999998
Pass,False,2,81.5
Fail,True,1,
Withdrawn,True,0,16.75
Distinction,False,3,0.0
Fail,True,1,47.0
Fail,True,1,76.4
Fail,True,1,6.5
Withdrawn,True,0,0.0
Pass,False,2,65.2
Withdrawn,True,0,
Pass,False,2,157.725
Pass,False,2,75.63999999999999
Fail,True,1,72.5
Pass,False,2,51.91
Fail,True,1,
Pass,False,2,68.1
Distinction,False,3,85.7
Distinction,False,3,91.75
Fail,True,1,17.5
Pass,False,2,97.6
Pass,False,2,80.46
Withdrawn,True,0,
Pass,False,2,75.05
Pass,False,2,88.5
Pass,False,2,80.3
Withdrawn,True,0,3.0
Withdrawn,True,0,
Withdrawn,True,0,10.46
Distinction,False,3,87.56
Pass,False,2,0.0
Pass,False,2,81.9
Withdrawn,True,0,
Withdrawn,True,0,
Pass,False,2,77.0
Pass,False,2,0.0
Distinction,False,3,79.45
Fail,True,1,
Pass,False,2,87.32
Fail,True,1,18.0
Distinction,False,3,85.72
Pass,False,2,110.65
Fail,True,1,28.05
Withdrawn,True,0,
Fail,True,1,
Fail,True,1,14.72
Withdrawn,True,0,
Pass,False,2,72.53999999999999
Withdrawn,True,0,
Withdrawn,True,0,27.925
Pass,False,2,148.35
Pass,False,2,57.58
Pass,False,2,89.08
Pass,False,2,0.0
Distinction,False,3,0.0
Withdrawn,True,0,16.05
Withdrawn,True,0,4.71
Withdrawn,True,0,
Distinction,False,3,91.4
Withdrawn,True,0,11.04
Fail,True,1,51.085
Pass,False,2,72.25
Fail,True,1,25.775
Fail,True,1,7.92
Pass,False,2,84.75
Pass,False,2,83.5
Withdrawn,True,0,
Withdrawn,True,0,
Pass,False,2,0.0
Pass,False,2,52.58
Fail,True,1,
Withdrawn,True,0,
Withdrawn,True,0,3.75
Withdrawn,True,0,
Pass,False,2,135.925
Pass,False,2,85.25
Pass,False,2,65.84
Pass,False,2,86.80000000000001
Fail,True,1,65.2
Fail,True,1,112.25
Withdrawn,True,0,12.64
Pass,False,2,80.58
Pass,False,2,73.5
Fail,True,1,0.8
Pass,False,2,44.0
Withdrawn,True,0,
Pass,False,2,86.25
Pass,False,2,56.5
Pass,False,2,82.75
Pass,False,2,109.91999999999999
Withdrawn,True,0,30.775
Fail,True,1,27.07
Distinction,False,3,71.72
Withdrawn,True,0,
Pass,False,2,63.55
Pass,False,2,69.5
Fail,True,1,0.0
Withdrawn,True,0,5.66
Distinction,False,3,82.49
Withdrawn,True,0,
Distinction,False,3,88.75
Distinction,False,3,85.75
Fail,True,1,36.75
Withdrawn,True,0,
Pass,False,2,44.059999999999995
Fail,True,1,14.75
Pass,False,2,66.6
Fail,True,1,4.15
Fail,True,1,32.150000000000006
Withdrawn,True,0,
Distinction,False,3,89.68
Pass,False,2,77.50999999999999
Fail,True,1,5.8
Pass,False,2,0.0
Fail,True,1,0.0
Pass,False,2,62.75
Fail,True,1,58.0
Pass,False,2,69.44
Withdrawn,True,0,
Pass,False,2,80.0
Withdrawn,True,0,
Fail,True,1,0.0
Withdrawn,True,0,4.0
Withdrawn,True,0,19.0
Fail,True,1,22.7
Fail,True,1,38.48
Pass,False,2,94.75
Withdrawn,True,0,
Fail,True,1,
Pass,False,2,179.55999999999997
Pass,False,2,49.0
Distinction,False,3,25.0
Distinction,False,3,96.0
Withdrawn,True,0,
Pass,False,2,11.96
Pass,False,2,62.839999999999996
Withdrawn,True,0,
Fail,True,1,63.0
Pass,False,2,91.97000000000001
Pass,False,2,67.9
Pass,False,2,39.04
Pass,False,2,78.25
Pass,False,2,73.26
Fail,True,1,44.09
Withdrawn,True,0,
Pass,False,2,96.0
Pass,False,2,92.52000000000001
Pass,False,2,54.50000000000001
Distinction,False,3,0.0
Pass,False,2,57.10000000000001
Withdrawn,True,0,
Fail,True,1,54.62
Fail,True,1,23.25
Withdrawn,True,0,2.85
Withdrawn,True,0,
Withdrawn,True,0,
Fail,True,1,11.82
Withdrawn,True,0,20.22
Pass,False,2,0.0
Pass,False,2,72.25
